age_description,jaw_description,eyes_description,hair_description,nose_description,race_description,beard_description,gender_description,eyebrows_description,expression_description,additionalInfo_description,Attractive_og_img,Race_og_img,Memorable_og_img,Filename_og_img,AWSFile_og_img,ParticipantId,Task Data,Submitted Data,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Gender,Country Of Residence,Household Income,Race,Employment Status
55,normal jaw,blue eyes ,ash blonde cool toned hair ,large nose,white,"no beard, had a hair mustache",male,short bushy light ash blonde cool toned col,other,"not wearing glasses, look serious ",2.0,1.0,2.0,Google_1_Larry Atwater_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Larry%20Atwater_3_oval.jpg,EB6AF6F1E4B3411C8757E926F4182872,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Larry Atwater_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Larry%20Atwater_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":297}","{""Data"":{""taskData"":{""age"":""55"",""jaw"":""normal jaw"",""eyes"":""blue eyes "",""hair"":""ash blonde cool toned hair "",""nose"":""large nose"",""race"":""white"",""beard"":""no beard, had a hair mustache"",""gender"":""male"",""eyebrows"":""short bushy light ash blonde cool toned col"",""expression"":""other"",""additionalInfo"":""not wearing glasses, look serious ""}}}",26,"Bachelor's degree (for example: BA, AB, BS)",Female,Finance,In a relationship,Republican,Woman,United States,"$90,000-$99,999",An ethnicity not listed here,Full-time
Under 28,Round to oval,Green,Straight brunette,Wider width,white,None,female,Thinner browm,smiling,"Pleasant smile , kind of a soft plumpish face
Seems happy. Little too much make up.",4.0,1.0,3.0,Google_1_Rodney Wyant_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Rodney%20Wyant_15_oval.jpg,656A7E7F733E454094A60ABCEA4ED5B1,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Rodney Wyant_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Rodney%20Wyant_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":316}","{""Data"":{""taskData"":{""age"":""Under 28"",""jaw"":""Round to oval"",""eyes"":""Green"",""hair"":""Straight brunette"",""nose"":""Wider width"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Thinner browm"",""expression"":""smiling"",""additionalInfo"":""Pleasant smile , kind of a soft plumpish face\nSeems happy. Little too much make up.""}}}",62,"Bachelor's degree (for example: BA, AB, BS)",Male,Retired,Married,Republican,Man,United States,"$200,000-$224,999",White,Retired
mid-50s,square,small brown eyes,short blond hair,short nostril,white,none,male,thin yellow,smiling,,2.0,1.0,5.0,Google_1_Stanley Cornelius_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Stanley%20Cornelius_3_oval.jpg,542C8FC44AB6446F92D18292E2AE4FE7,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""5.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Stanley Cornelius_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Stanley%20Cornelius_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":391}","{""Data"":{""taskData"":{""age"":""mid-50s"",""jaw"":""square"",""eyes"":""small brown eyes"",""hair"":""short blond hair"",""nose"":""short nostril"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""thin yellow"",""expression"":""smiling""}}}",44,"Associate degree (for example: AA, AS)",Male,Retail,Single,Democrat,Man,United States,"$40,000-$49,999",Chinese,Full-time
adult,difficult to say because of the beard,squinty and thus of indeterminate color,Not really visible in picture ,unremarkable ,white,a light red orange beard and musta,male,thin and pale,smiling,,2.0,1.0,5.0,Google_1_Gary Sprinkle_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Gary%20Sprinkle_5_oval.jpg,834A92AD6F2E4C28814570146FF9FAEA,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""5.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Gary Sprinkle_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Gary%20Sprinkle_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":386}","{""Data"":{""taskData"":{""age"":""adult"",""jaw"":""difficult to say because of the beard"",""eyes"":""squinty and thus of indeterminate color"",""hair"":""Not really visible in picture "",""nose"":""unremarkable "",""race"":""white"",""beard"":""a light red orange beard and musta"",""gender"":""male"",""eyebrows"":""thin and pale"",""expression"":""smiling""}}}",39,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Single,Democrat,Non-binary,United States,Prefer not to say,White,Unemployed
65+,pointed,blue,"short, white","average size,",white,none,male,white,smiling,"seems to have nice teeth, seemingly an older gentleman",2.0,1.0,4.0,Google_1_Larry Blanco_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Larry%20Blanco_1_oval.jpg,774B2A6F784E40819578DFF67065E3D3,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Larry Blanco_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Larry%20Blanco_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":79}","{""Data"":{""taskData"":{""age"":""65\u002B"",""jaw"":""pointed"",""eyes"":""blue"",""hair"":""short, white"",""nose"":""average size,"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""white"",""expression"":""smiling"",""additionalInfo"":""seems to have nice teeth, seemingly an older gentleman""}}}",29,"Bachelor's degree (for example: BA, AB, BS)",Female,Medicine,In a relationship,Something else,Woman,United States,"$90,000-$99,999",An ethnicity not listed here,Student
mid-40's,square,subtle brown,"straight, combed",small narrow nostrils,white,none,male,thin black,smiling,,2.0,1.0,3.0,Google_1_Sean Raleigh_7_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Sean%20Raleigh_7_oval.jpg,5B5C3D85087A4E16BBF4767641D407C0,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Sean Raleigh_7_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Sean%20Raleigh_7_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":354}","{""Data"":{""taskData"":{""age"":""mid-40\u0027s"",""jaw"":""square"",""eyes"":""subtle brown"",""hair"":""straight, combed"",""nose"":""small narrow nostrils"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""thin black"",""expression"":""smiling""}}}",27,"Bachelor's degree (for example: BA, AB, BS)",Male,Finance,Single,Republican,Man,United States,"$100,000-$124,999",Black or African American,Full-time
early 40,slim,blue,brown,"slim nostrils, round tip",white,none,male,thick brown,smiling,blue shirt,2.0,1.0,3.0,Google_1_Frank Luke_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Frank%20Luke_9_oval.jpg,0C12465659CD49FC8D6D3ADCB0FDED9E,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Frank Luke_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Frank%20Luke_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":294}","{""Data"":{""taskData"":{""age"":""early 40"",""jaw"":""slim"",""eyes"":""blue"",""hair"":""brown"",""nose"":""slim nostrils, round tip"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""thick brown"",""expression"":""smiling"",""additionalInfo"":""blue shirt""}}}",35,"Some college, but no degree",Male,Marketing and Sales,Single,Something else,Man,United States,"Less than $10,000",Black or African American,Unemployed
Late 40's,round ,"sad, droopy","short, grey","wide,short nose",white,"light, grey moustache",male,Light grey,smiling,,2.0,1.0,2.0,Google_1_Danielle Wilbanks_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Danielle%20Wilbanks_5_oval.jpg,7E1F4C7B20C1463687A787F7545812C9,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Danielle Wilbanks_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Danielle%20Wilbanks_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":410}","{""Data"":{""taskData"":{""age"":""Late 40\u0027s"",""jaw"":""round "",""eyes"":""sad, droopy"",""hair"":""short, grey"",""nose"":""wide,short nose"",""race"":""white"",""beard"":""light, grey moustache"",""gender"":""male"",""eyebrows"":""Light grey"",""expression"":""smiling""}}}",54,"Bachelor's degree (for example: BA, AB, BS)",Male,Information Technology,Married,Democrat,Man,United States,"$70,000-$79,999",White,Full-time
late 30s,"rounded chin, not too long",green towards hazel,brown,"normal, medium nostrils not flared, ",white,none,female,"groomed, yet still thicker brown",smiling,rounded cheeks with small under eye bags and looming crow's feet,4.0,1.0,4.0,Albert_Cardoza_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Albert_Cardoza_5_oval.jpg,CEFDD7D76BF743BEADE87848A1674727,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Albert_Cardoza_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Albert_Cardoza_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":411}","{""Data"":{""taskData"":{""age"":""late 30s"",""jaw"":""rounded chin, not too long"",""eyes"":""green towards hazel"",""hair"":""brown"",""nose"":""normal, medium nostrils not flared, "",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""groomed, yet still thicker brown"",""expression"":""smiling"",""additionalInfo"":""rounded cheeks with small under eye bags and looming crow\u0027s feet""}}}",39,"Bachelor's degree (for example: BA, AB, BS)",Male,Marketing and Sales,Married,Republican,Man,United States,"$100,000-$124,999",White,Full-time
Upper 20's,Round,Squinty,"Light brown, long bangs, parted to the side. ",Average- nothing noticeable about it. ,white,None,female,"Pale,thin, almost hard to see",smiling,"Round, full face",3.0,1.0,3.0,Google_1_Diane Haviland_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Diane%20Haviland_5_oval.jpg,842580F894184DE589555936CF12CECC,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Diane Haviland_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Diane%20Haviland_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":412}","{""Data"":{""taskData"":{""age"":""Upper 20\u0027s"",""jaw"":""Round"",""eyes"":""Squinty"",""hair"":""Light brown, long bangs, parted to the side. "",""nose"":""Average- nothing noticeable about it. "",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Pale,thin, almost hard to see"",""expression"":""smiling"",""additionalInfo"":""Round, full face""}}}",46,"Bachelor's degree (for example: BA, AB, BS)",Female,Legal,Married,Democrat,Woman,United States,"$100,000-$124,999",White,Full-time
50s or 60s,Square and strong jaw,Large black/brown,Bald or not showing,"Straight nose bridge, wide nostrils",black,No beard,male,Thin brown,neutral,"The man appears distressed in the photo, or extremely nonchalant. Not happy.",2.0,2.0,2.0,Google_1_George Dansby_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_George%20Dansby_1_oval.jpg,79392578D6334B998AD485EF4CAA4151,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_George Dansby_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_George%20Dansby_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":311}","{""Data"":{""taskData"":{""age"":""50s or 60s"",""jaw"":""Square and strong jaw"",""eyes"":""Large black/brown"",""hair"":""Bald or not showing"",""nose"":""Straight nose bridge, wide nostrils"",""race"":""black"",""beard"":""No beard"",""gender"":""male"",""eyebrows"":""Thin brown"",""expression"":""neutral"",""additionalInfo"":""The man appears distressed in the photo, or extremely nonchalant. Not happy.""}}}",25,"Bachelor's degree (for example: BA, AB, BS)",Male,"Science, Technology, Engineering & Mathematics",Single,Democrat,Man,United States,"$200,000-$224,999",Asian Indian,Part-time
early to mid-20s,angled jawline to a pointed chin,average brown,long brunette,average,black,mustache and goatee,male,thick brown,neutral,,3.0,5.0,3.0,Google_1_Colleen Andino_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Colleen%20Andino_1_oval.jpg,9BA81D85AA1E413391AFA74A501188AF,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""5.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Colleen Andino_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Colleen%20Andino_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":414}","{""Data"":{""taskData"":{""age"":""early to mid-20s"",""jaw"":""angled jawline to a pointed chin"",""eyes"":""average brown"",""hair"":""long brunette"",""nose"":""average"",""race"":""black"",""beard"":""mustache and goatee"",""gender"":""male"",""eyebrows"":""thick brown"",""expression"":""neutral""}}}",38,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Single,Democrat,Woman,United States,"$20,000-$29,999",White,Unemployed
mid 40s,"rounded jaw, double chin",medium brown,short grey brown,"large nostrils, wide and pointy",white,no beard,male,thin brown,smiling,"squinting eyes and eyebrows, bottom teeth are visible",2.0,1.0,1.0,Google_1_Rodney Preciado_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Rodney%20Preciado_15_oval.jpg,61EF2D334DCE4ABE8F3D721FB652BA38,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""1.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Rodney Preciado_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Rodney%20Preciado_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":416}","{""Data"":{""taskData"":{""age"":""mid 40s"",""jaw"":""rounded jaw, double chin"",""eyes"":""medium brown"",""hair"":""short grey brown"",""nose"":""large nostrils, wide and pointy"",""race"":""white"",""beard"":""no beard"",""gender"":""male"",""eyebrows"":""thin brown"",""expression"":""smiling"",""additionalInfo"":""squinting eyes and eyebrows, bottom teeth are visible""}}}",21,"Associate degree (for example: AA, AS)",Male,Retail,In a relationship,Republican,Man,United States,"$50,000-$59,999",White,Part-time
mid 40s,blunt,average brown,brunette,small,white,none,female,average brown,smiling,n/a,3.0,1.0,2.0,Google_1_Gary Perri_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Gary%20Perri_3_oval.jpg,D1AA6E23407945179ABB35CE80BF1B9B,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Gary Perri_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Gary%20Perri_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":406}","{""Data"":{""taskData"":{""age"":""mid 40s"",""jaw"":""blunt"",""eyes"":""average brown"",""hair"":""brunette"",""nose"":""small"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""average brown"",""expression"":""smiling"",""additionalInfo"":""n/a""}}}",20,High school graduate - high school diploma or the equivalent (for example: GED),Female,"Science, Technology, Engineering & Mathematics",Single,Prefer not to say,Woman,United States,Prefer not to say,Chinese,Student
